handle,value_created_usd,distribution
semyin,2011.13,initial
parkan,2007.48,initial
stejin,2005.29,initial
maxweng,2005.19,initial
andrewhyde,2004.21,initial
tzdybal,2002.10,initial
hdriqi,2000.21,initial
ameba23,2000.00,initial
dvc94ch,2000.00,initial
hukkinj1,2000.00,initial
koinov,2000.00,initial
milonite,2000.00,initial
jezsan,1997.99,initial
mestorlx,1982.37,initial
usmanmuhd,1979.91,initial
guifel,1971.52,initial
chainsafe,1970.59,initial
cryptogoth,1969.82,initial
iamjaspreetsingh,1966.48,initial
inspireme6,1957.85,initial
cpurta,1955.02,initial
skylarweaver,1953.15,initial
rauljordan,1947.69,initial
jeff-emmett,1945.56,initial
montyly,1940.20,initial
bencicandrej,1932.03,initial
aahutsal,1929.95,initial
echolon166,1929.34,initial
lcoenen,1917.76,initial
musatheredguard,1907.75,initial
catsnackattack,1900.78,initial
gdixon,1900.53,initial
akomba,1900.00,initial
ben-crypto,1900.00,initial
litvintech,1898.81,initial
bshevchenko,1893.15,initial
sudeepb02,1891.19,initial
sulliwane,1883.86,initial
pongyuan,1880.84,initial
aaveaave,1877.87,initial
zawadilabs,1875.70,initial
bitsikka,1874.92,initial
damianrawluk,1867.54,initial
michaelis,1859.60,initial
benjamistan,1855.68,initial
noahzinsmeister,1844.82,initial
jacobcreech,1844.31,initial
todd-x-y,1840.71,initial
semuelle,1833.20,initial
aditya-vijaykumar,1831.62,initial
anonusergitcoin54-jxpktg24fbyx4vy6fdekrkcrqh7of3nn,1804.16,initial
askeluv,1803.52,initial
sembrestels,1803.35,initial
bahadylbekov,1793.05,initial
meirbank,1792.47,initial
karlfloersch,1790.27,initial
pcowgill,1783.48,initial
daicard,1768.36,initial
random-internet-cat,1762.50,initial
conghieucntt,1759.49,initial
yimin-mia,1754.81,initial
ggabriel8,1753.16,initial
tsujp,1747.50,initial
latetot,1728.50,initial
somniastellarum,1728.21,initial
ggluigi-hue,1725.00,initial
frozeman,1713.95,initial
limzero,1713.95,initial
ainsleys,1713.61,initial
lazaridis-com,1701.17,initial
mathboulianne,1700.38,initial
emanuelkuhn,1695.92,initial
dmolina79,1692.03,initial
jmsofarelli,1691.92,initial
martintel,1684.19,initial
doc-saintly,1680.00,initial
jsimbouras,1671.42,initial
demyanrogozhin,1670.12,initial
struka9,1668.35,initial
brenzi,1667.64,initial
jakub-wojciechowski,1657.38,initial
leonprou,1655.45,initial
bobbylicious,1650.10,initial
jaredchilders,1630.09,initial
frankchen07,1625.83,initial
web3bridge,1620.07,initial
mpetrunic,1615.98,initial
etherdotblue,1606.97,initial
emiwatanabe422,1604.05,initial
emmaspin,1595.24,initial
jdestephen,1593.08,initial
tobyjaguar,1584.29,initial
triplespeeder,1572.58,initial
yorksvit,1567.09,initial
jacob-eliosoff,1564.67,initial
lucasvo,1559.48,initial
jalextowle,1550.00,initial
djphillyg,1548.90,initial
yangwao,1546.17,initial
morrigan,1540.18,initial
buibuibuibui,1536.95,initial
maksim-tolo,1536.89,initial
mehul0698,1535.94,initial
banteg,1532.00,initial
arachnid,1530.70,initial
marsrobertson,1525.15,initial
aqoleg,1523.26,initial
rafalkowalski,1523.20,initial
amy-jung,1521.88,initial
christinebetho,1517.88,initial
okdistribute,1516.02,initial
dilatebrave,1514.85,initial
papealioune,1513.93,initial
tokenbrice,1512.71,initial
industral,1508.75,initial
davidcozsmith,1508.02,initial
skyge,1503.85,initial
luckyr13,1502.54,initial
calchulus,1500.96,initial
kylejkistner,1500.00,initial
mixmix,1500.00,initial
almusawil,1499.72,initial
maystro4,1488.58,initial
hhio618,1484.46,initial
iamdefinitelyahuman,1481.65,initial
nestorbonilla,1478.99,initial
realwolfofethereum,1478.90,initial
kdm5126,1477.76,initial
