handle,user_id,total,active_user,kernel,GMV
zyfrank,16049,8621118599998999625728,662198599999999967232,0,7958919999999000444928
juliebissinger,85613,7999814999998999822336,41075000000000000000,0,7958739999998999527424
daft-wullie,89340,8248179099997999988736,303019099999000002560,0,7945159999999000444928
ribbonblockchainrsa,62555,8171746000000000196608,235616000000000000000,0,7936130000000000196608
tokenbrice,69513,9879999999998999658496,2077159999998999920640,0,7802840000000000262144
theperegrineco,5596,7788939999998999789568,0,0,7788939999998999789568
angelakte,72773,9421499999997999972352,1668339999999000051712,0,7753159999999000444928
jespow,86977,7905063000000000163840,281603000000000000000,0,7623460000000000393216
gravenp,72047,7983045999999000248320,425096000000000000000,0,7557949999999000510464
lamboshinakaghini,66697,8079406799998999855104,558206800000000000000,0,7521199999999000182784
stevenjnpearce,3144,8290813399999000346624,799963399999000018944,0,7490850000000000196608
4-1-3-x,66698,8385968000000000524288,959588000000000000000,0,7426380000000000131072
dievardump,90302,8836196302834999754752,475086400000000000000,971639902835999899648,7389469999999000510464
bluzelle-team,80436,7427118600000000491520,81738600000000000000,0,7345380000000000393216
spencer12noon,66276,9970299999998999265280,2741619999999000051712,0,7228679999999999737856
man-jain,63121,7617440599998999822336,411850599999000018944,0,7205590000000000065536
econoar,9015,8384779999998999789568,1181840000000000000000,0,7202939999999000313856
crypcade,90211,7212009399999000477696,13349400000000000000,0,7198659999999000051712
madeoftin,9838,8170168999998999494656,972228999999999967232,0,7197939999998999527424
spolrot,66908,9708480000000000000000,2528390000000000065536,0,7180090000000000458752
ditchfieldcaleb,78381,7281547999998999789568,122168000000000000000,0,7159379999998999527424
pepem00n,109120,7217694599998999625728,88074600000000000000,0,7129619999998999527424
fifikobayashi,72551,7162120499999999524864,41980500000000000000,0,7120140000000000131072
finematics,91101,7357349799998999494656,242889800000000000000,0,7114459999999000313856
followthechain,41496,7658044099998999642112,652354100000000049152,0,7005689999999000117248
jay-prime,59428,7459084899999000035328,470734899998999969792,0,6988349999999999803392
medvedev1088,8668,7057373699998000087040,155393699999000002560,0,6901979999999000313856
viraja1,63012,7469353699998999511040,568113699998999969792,0,6901240000000000262144
sirsuhayb,63015,6902660000000000393216,10900000000000000000,0,6891760000000000524288
