Handle,Share of Active Users,Tokens Allocated
myxi002,0.02210%,675.9111
zeframlou,0.02210%,675.2758
kevinweaver,0.02210%,675.0497
daneok1,0.02190%,671.1595
justubong,0.02190%,671.0313
junlek,0.02190%,670.171
tweetious,0.02180%,666.8631
cnn888250,0.02180%,666.708
darehwinston,0.02180%,666.5531
xiaoloudgb,0.02170%,665.0093
xiongbaowa1,0.02170%,665.0093
wazmm999,0.02170%,665.0093
sagotom,0.02170%,665.0093
tianyao-wang,0.02170%,665.0093
caipeng2006,0.02170%,665.0093
wuyume,0.02170%,665.0093
lalalla,0.02170%,665.0093
hybking,0.02170%,665.0093
pet3r-pan,0.02170%,664.2306
bellinas,0.02170%,663.1358
willk123,0.02170%,662.7077
zyfrank,0.02160%,662.1986
nsexer,0.02160%,660.5991
anneconnelly,0.02160%,659.8835
popcornkirby,0.02150%,658.6764
skywinder,0.02150%,658.3188
robinpan1,0.02150%,657.1579
fubuloubu,0.02140%,656.1461
imblackjack1,0.02140%,655.24
huntfrye11,0.02140%,654.1075
lucasliu1994,0.02140%,654.1075
guxuechao,0.02140%,654.1075
ropstenpan,0.02140%,654.1075
lichao1991,0.02140%,654.1075
jy00884973,0.02140%,654.1075
richie416,0.02140%,654.1075
hodlercal,0.02140%,654.1075
jack20210214,0.02140%,654.1075
bingqiang2021,0.02140%,654.1075
jiexin234,0.02140%,654.1075
jongkyungjin,0.02140%,654.1075
followthechain,0.02130%,652.3541
