Handle,Share of Active Users,Tokens Allocated
startlikeus0202,0.00428%,130.8215
dongm91,0.00428%,130.8215
applejooo,0.00428%,130.8215
kanasiss85,0.00428%,130.8215
zhenyaleontev87,0.00428%,130.8215
zanagh,0.00428%,130.8215
oraldr625,0.00428%,130.8215
fortuneamanze,0.00428%,130.8215
photon12,0.00428%,130.8215
gh4357ef12jf3,0.00428%,130.8215
jungin99102,0.00428%,130.8215
zcrzcx,0.00428%,130.8215
teamtekken2002,0.00428%,130.8215
xilibi2003,0.00428%,130.8215
walterliu79,0.00428%,130.8215
sezahr,0.00428%,130.8215
gurins,0.00428%,130.8215
kongbaiye,0.00428%,130.8215
huilihp,0.00428%,130.8215
yuliana-dorofeeva-1984,0.00428%,130.8215
tiantiancr,0.00428%,130.8215
lies747,0.00428%,130.8215
dangerous-coast,0.00428%,130.8215
jay19820115,0.00428%,130.8215
manujanu,0.00428%,130.8215
collynn,0.00428%,130.8215
galinafrolova,0.00428%,130.8215
eena814,0.00428%,130.8215
wayneeeee,0.00428%,130.8215
yudalhwan4521,0.00428%,130.8215
tyevlag,0.00428%,130.8215
faustyne,0.00428%,130.8215
udoncrypto,0.00428%,130.8215
peejayjp,0.00428%,130.8215
sscrystal,0.00428%,130.8215
gul-dan798,0.00428%,130.8215
nyssanida,0.00428%,130.8215
maruko0702,0.00428%,130.8215
guchen726,0.00428%,130.8215
rhomz1,0.00428%,130.8215
anzhelikavolkova98,0.00428%,130.8215
brinalse,0.00428%,130.8215
yulianka-czvetkova,0.00428%,130.8215
anbai276,0.00428%,130.8215
rominasejas,0.00428%,130.8215
keka01,0.00428%,130.8215
daganses,0.00428%,130.8215
nuelcrowns,0.00428%,130.8215
joydloyy,0.00428%,130.8215
fantomvalidator,0.00428%,130.8215
valechkaegorova66,0.00428%,130.8215
frayy62,0.00428%,130.8215
wendyfon,0.00428%,130.8215
tilipinpin,0.00428%,130.8215
darofer,0.00428%,130.8215
star34shall,0.00428%,130.8215
ekwora1,0.00428%,130.8215
dice956,0.00428%,130.8215
m-shen,0.00428%,130.8215
fangbei1023,0.00428%,130.8215
baggioliao,0.00428%,130.8215
vasiliyushakov198,0.00428%,130.8215
jonkeyey05,0.00428%,130.8215
minicoohei,0.00428%,130.8215
yanslower,0.00428%,130.8215
scarlet-media,0.00428%,130.8215
marceri-gg,0.00428%,130.8215
mitr77,0.00428%,130.8215
jackmannerk,0.00428%,130.8215
gy001,0.00428%,130.8215
niumei888,0.00428%,130.8215
mcaptain2,0.00428%,130.8215
zackiel-asd,0.00428%,130.8215
otemzi,0.00428%,130.8215
rockybeat,0.00428%,130.8215
austinebizzy,0.00428%,130.8215
niteowl660,0.00428%,130.8215
tinaer233,0.00428%,130.8215
protonmailv5,0.00428%,130.8215
luga-max,0.00428%,130.8215
qimandir,0.00428%,130.8215
chenbtc,0.00428%,130.8215
esetelopez,0.00428%,130.8215
zhaowei880924,0.00428%,130.8215
fengli07,0.00428%,130.8215
moran17,0.00428%,130.8215
glockz-bit,0.00428%,130.8215
pilotlegoid,0.00428%,130.8215
venet858,0.00428%,130.8215
lixs014208,0.00428%,130.8215
cartney-wong,0.00428%,130.8215
boryaaleksandrov61,0.00428%,130.8215
xylix,0.00428%,130.8215
natashafomina1969,0.00428%,130.8215
iamiu3,0.00428%,130.8215
ennycares,0.00428%,130.8215
anitajude,0.00428%,130.8215
sybachelor,0.00428%,130.8215
alexcryptowang,0.00428%,130.8215
vitalijmartynov1990,0.00428%,130.8215
anatoliytimofeev2019,0.00428%,130.8215
whereismysward,0.00428%,130.8215
qijinzing,0.00428%,130.8215
sandoak,0.00428%,130.8215
tigergibson,0.00428%,130.8215
agbona,0.00428%,130.8215
gr8tdanton,0.00428%,130.8215
uc9190,0.00428%,130.8215
1.87E+09,0.00428%,130.8215
jiebaoking,0.00428%,130.8215
rachiken,0.00428%,130.8215
spyorange,0.00428%,130.8215
ak931126,0.00428%,130.8215
sonatix,0.00428%,130.8215
gaurav170,0.00428%,130.8215
marvelstalwart,0.00428%,130.8215
kaiteevn,0.00428%,130.8215
sdfewrwerew,0.00428%,130.8215
skaro-dev,0.00428%,130.8215
ncentwor,0.00428%,130.8215
ajsathyan,0.00428%,130.8215
sthreal,0.00428%,130.8215
ktran245,0.00428%,130.8215
anyagolubeva1961,0.00428%,130.8215
yeghong,0.00428%,130.8215
pivovarovasvvetlana,0.00428%,130.8215
abhilash710,0.00428%,130.8215
rellyin,0.00428%,130.8215
nathanielsrex,0.00428%,130.8215
jeky138,0.00428%,130.8215
glebsergeev1974,0.00428%,130.8215
36772645,0.00428%,130.8215
elhamne,0.00426%,130.3106
anmolgaur45,0.00426%,130.2653
peter-evans,0.00426%,130.2395
usecripto,0.00425%,130.1803
ch3131,0.00425%,130.0039
zapaz,0.00425%,130.0039
fateswing,0.00424%,129.7313
leocap2017,0.00424%,129.7077
ryan-ouyang,0.00424%,129.6253
kpii,0.00424%,129.6253
daln,0.00424%,129.6253
danielheyman,0.00424%,129.6253
haael,0.00424%,129.6253
dataphysicist,0.00424%,129.6253
ethken,0.00424%,129.6253
mesg-bot,0.00423%,129.556
proy24,0.00423%,129.532
pumipatw,0.00423%,129.3829
balibill888,0.00423%,129.3829
makingthebest09,0.00423%,129.3829
hujunjob,0.00423%,129.3829
beliar85,0.00423%,129.3829
tcodan,0.00423%,129.3829
jayesbee,0.00423%,129.3829
percivalzhang,0.00423%,129.3829
balkan34,0.00423%,129.3829
joonian,0.00423%,129.3829
joshua500000,0.00423%,129.3829
stevejoemiller,0.00423%,129.3829
eduprye7,0.00423%,129.3829
matkilau69,0.00423%,129.3829
urssukesh,0.00423%,129.3829
techieanant,0.00423%,129.3829
geraldy7777,0.00423%,129.3829
skylarweaver,0.00422%,129.0576
albertblocks,0.00422%,129.0438
tina1998612,0.00422%,129.0427
drobot99,0.00421%,128.862
hirorylabo,0.00421%,128.8237
cynthia90210,0.00420%,128.5905
koltenb,0.00420%,128.426
maektwain,0.00420%,128.3714
nieldelmartin,0.00418%,127.7828
0mkara,0.00417%,127.7299
jozanza,0.00417%,127.6281
lucascerro,0.00417%,127.5533
terencechain,0.00417%,127.4547
e-swissolar,0.00416%,127.1617
kimchristopher,0.00415%,127.049
szejin,0.00415%,126.9025
stacketh,0.00415%,126.9025
wlaufer,0.00415%,126.9025
hilltan,0.00415%,126.9025
svetlin1,0.00415%,126.9025
jdomadam,0.00415%,126.9025
skidanovalex,0.00414%,126.8325
youngduval0927,0.00414%,126.802
orbitalcommandfreefall,0.00414%,126.7828
adambeaudoin,0.00414%,126.7807
wangwei-tongxue,0.00414%,126.7364
kapsonlabs,0.00414%,126.6204
youssefs0102,0.00413%,126.4795
bradysheridan,0.00413%,126.3715
5chdn,0.00413%,126.3366
pasttuesday,0.00412%,126.1507
matnad,0.00412%,126.1507
kallemoen,0.00412%,126.0775
vendeta5,0.00412%,125.9417
tingtingandrea,0.00412%,125.9417
coalition4good,0.00411%,125.9123
sachacs20,0.00410%,125.5106
amitjosh,0.00410%,125.3997
gdbrd7,0.00410%,125.3391
sterky,0.00409%,125.2688
qu0b,0.00409%,125.1754
camilaarias,0.00409%,125.0814
hardvard24,0.00409%,125.0814
ha888,0.00409%,125.0814
ealmario,0.00409%,125.0462
jimmy-tudeski,0.00409%,125.0152
zeqing-guo,0.00408%,124.9655
asimondlt,0.00408%,124.8955
mknspng,0.00408%,124.8243
codi45,0.00407%,124.5236
wjw12,0.00407%,124.4933
jaclynlenee,0.00406%,124.3333
sillytuna,0.00406%,124.3149
pr0toshi,0.00406%,124.3149
emiwatanabe422,0.00406%,124.231
peeranky09,0.00406%,124.2211
rochbrz,0.00406%,124.2211
iisakkipi,0.00406%,124.2211
crptrck400,0.00405%,123.9946
brucethegoose827,0.00405%,123.9362
localcryptosmichael,0.00405%,123.9104
dorukismen,0.00405%,123.8981
lucadonnoh,0.00405%,123.8937
jamraq,0.00405%,123.8834
jas0n-f,0.00405%,123.8388
maghipearl,0.00405%,123.793
mixelated,0.00404%,123.7299
raynemang,0.00404%,123.6598
emmdim,0.00403%,123.3878
sean-magin,0.00403%,123.3849
o1sound,0.00403%,123.3609
rueisnax,0.00403%,123.3609
chandel43,0.00403%,123.3609
amakre,0.00403%,123.3175
ramy77nusa,0.00403%,123.2786
oxchan,0.00403%,123.225
anuranpolliwog,0.00403%,123.225
psuedophonical,0.00403%,123.225
brinng,0.00403%,123.225
boylejis,0.00403%,123.225
dergroncki,0.00403%,123.225
israeleth,0.00403%,123.225
bvl13,0.00403%,123.2089
chrismaree,0.00402%,123.0542
caozhibing520,0.00402%,122.9946
fabian-prog-crypto,0.00401%,122.7096
kziemianek,0.00401%,122.6808
cojocaru,0.00400%,122.5404
thx-ioii,0.00400%,122.5006
davidtariq96,0.00400%,122.5006
naterush,0.00400%,122.4354
koushik-muthe,0.00399%,122.2236
ditchfieldcaleb,0.00399%,122.168
chernant,0.00399%,122.1545
fodisi,0.00399%,122.1232
bobanm,0.00399%,122.0418
onxl,0.00398%,121.8764
uptowneric2008,0.00398%,121.6403
sourcewallet,0.00398%,121.6403
brousoft,0.00398%,121.6403
cuikaide,0.00398%,121.6403
henry412,0.00398%,121.6403
masterubj,0.00398%,121.6403
wildinfiower,0.00398%,121.6403
turboggs,0.00398%,121.6403
headstrong356,0.00398%,121.6403
jmb-42,0.00398%,121.6403
matrasskin,0.00398%,121.6403
jakysha,0.00398%,121.6403
rubin315,0.00397%,121.6184
alanstillwater,0.00397%,121.5969
b-j-ci,0.00397%,121.5714
tjumma,0.00397%,121.3335
idriswahab,0.00396%,121.3174
githubwei,0.00396%,121.2025
cryptoraves,0.00396%,121.067
blakeees,0.00396%,121.0522
xuemingcan,0.00396%,121.0378
integritycorporation,0.00396%,121.0378
roleengineer,0.00395%,120.8397
relpmis,0.00395%,120.7583
nglglhtr,0.00394%,120.6913
rixcian,0.00394%,120.6289
kirbyong,0.00394%,120.609
pfilippi24,0.00394%,120.6041
nearmax,0.00394%,120.5633
imlethanh,0.00394%,120.486
xiaoyu511,0.00394%,120.486
taotaf,0.00394%,120.4788
mfossh,0.00394%,120.4788
robbieeeeeeeeeee,0.00394%,120.4788
oswald18,0.00394%,120.4788
jovial-gent,0.00394%,120.4788
lizardfly,0.00394%,120.4788
andersonmmi,0.00394%,120.4603
ggluigi-hue,0.00393%,120.3685
michaelsproul,0.00393%,120.3685
seven7hwave,0.00393%,120.3685
ignatiusr,0.00393%,120.3685
remivillenave,0.00393%,120.2208
artignatyev,0.00393%,120.2185
lichnosam,0.00393%,120.1993
giribiriridi,0.00393%,120.1279
borntoape,0.00392%,119.9197
artoymer,0.00392%,119.9197
ryznet,0.00392%,119.9197
yarovery,0.00392%,119.9197
yb987631,0.00392%,119.9197
quest669,0.00392%,119.9197
byla362,0.00392%,119.9197
eylan58,0.00392%,119.9197
quint858,0.00392%,119.9197
faitanue,0.00392%,119.9197
bibald55,0.00392%,119.9197
naluobi,0.00392%,119.9197
phana847,0.00392%,119.9197
terykerr,0.00392%,119.9197
lordyag,0.00392%,119.9197
glora95,0.00392%,119.9197
ondacel,0.00392%,119.9197
vankinh1997,0.00392%,119.9197
alhamlis582,0.00392%,119.9197
inds5124,0.00392%,119.9197
cradle0ffilth,0.00392%,119.9197
aislau158,0.00392%,119.9197
xesama225,0.00392%,119.9197
otonyann,0.00392%,119.9197
sanet542,0.00392%,119.9197
rexdavinci,0.00392%,119.9197
martydfer,0.00392%,119.9197
cield57,0.00392%,119.9197
aliasgerty,0.00392%,119.9197
zhengany,0.00392%,119.9197
liuqwert,0.00392%,119.9197
anasnand,0.00392%,119.9197
muncel,0.00392%,119.9197
lily-white,0.00392%,119.9197
rica558,0.00392%,119.9197
larishon,0.00392%,119.9197
anisian,0.00392%,119.9197
venosem,0.00392%,119.9197
eliakers,0.00392%,119.9197
xemina,0.00392%,119.9197
ymonro,0.00392%,119.9197
kalia669,0.00392%,119.9197
gitterys,0.00392%,119.9197
atelier03,0.00392%,119.9197
nthono777,0.00392%,119.9197
zach4g,0.00392%,119.9197
vilme47,0.00392%,119.9197
uxaa-748,0.00392%,119.9197
nickjrishwain,0.00392%,119.9197
ksyagertys,0.00392%,119.9197
virgo911,0.00392%,119.9197
alekxer,0.00392%,119.9197
karlott856,0.00392%,119.9197
denismartynov1962,0.00392%,119.9197
cryptoknightsz,0.00392%,119.9197
edbunder,0.00392%,119.9197
loyders,0.00392%,119.9197
st-hoang,0.00392%,119.9197
feliant,0.00392%,119.9197
scot-123,0.00392%,119.9197
erne925,0.00392%,119.9197
rbessa65,0.00392%,119.9197
camarzana,0.00392%,119.9197
gilbertsys,0.00392%,119.9197
hsaa524,0.00392%,119.9197
patchel659,0.00392%,119.9197
rockyvo,0.00392%,119.9197
ciaran-693,0.00392%,119.9197
vilianter,0.00392%,119.9197
cyh163,0.00392%,119.9197
sanderys,0.00392%,119.9197
horala03,0.00392%,119.9197
delin445,0.00392%,119.9197
wyclines,0.00392%,119.9197
gleerty,0.00392%,119.9197
ivanna-hgb,0.00392%,119.9197
palvertysu,0.00392%,119.9197
velertys,0.00392%,119.9197
danaman001,0.00392%,119.9197
bbyaakot,0.00392%,119.9197
sembisoser,0.00392%,119.9197
jagz123,0.00392%,119.9197
smithiw,0.00392%,119.9197
ferdyan09,0.00392%,119.9197
aneermoomd,0.00392%,119.9197
banyac935,0.00392%,119.9197
thedreamer2021,0.00392%,119.9197
steplons,0.00392%,119.9197
quocnhat7,0.00392%,119.9197
keba936,0.00392%,119.9197
wellat8256,0.00392%,119.9197
the56ker,0.00392%,119.9197
ivanshasha,0.00392%,119.9197
yettybaby,0.00392%,119.9197
elmai58,0.00392%,119.9197
nikailo,0.00392%,119.9197
qerarie,0.00392%,119.9197
1.80E+10,0.00392%,119.9197
gevelynn,0.00392%,119.9197
ilovena1314,0.00392%,119.9197
rokyagser,0.00392%,119.9197
niabodak,0.00392%,119.9197
bell-985,0.00392%,119.9197
ghostglow,0.00392%,119.9197
owenzhen,0.00392%,119.9197
gambol,0.00392%,119.9197
usanalde,0.00392%,119.9197
yinert,0.00392%,119.9197
sgmclok,0.00392%,119.9197
kimeth30,0.00392%,119.9197
mina-09,0.00392%,119.9197
baoho2612,0.00392%,119.9197
zhangchenxu,0.00392%,119.9197
fainaponomareva1962,0.00392%,119.9197
reubenng,0.00392%,119.9197
monol1,0.00392%,119.9197
lisberger,0.00392%,119.9197
vallyner,0.00392%,119.9197
wille524,0.00392%,119.9197
roksanaershova1986,0.00392%,119.9197
lian0512,0.00392%,119.9197
showme355,0.00392%,119.9197
kojonhyira,0.00392%,119.9197
xiea965,0.00392%,119.9197
iances,0.00392%,119.9197
holertsge,0.00392%,119.9197
o-niran,0.00392%,119.9197
promisesk,0.00392%,119.9197
fredd558,0.00392%,119.9197
quitanal36,0.00392%,119.9197
linkaa-jas,0.00392%,119.9197
viklyafery,0.00392%,119.9197
fuhui2017,0.00392%,119.9197
12138c,0.00392%,119.9197
gn23391042,0.00392%,119.9197
artansia,0.00392%,119.9197
eling-kj,0.00392%,119.9197
ntanley15774,0.00392%,119.9197
ulbri852,0.00392%,119.9197
kzflyer,0.00392%,119.9197
waffensam,0.00392%,119.9197
etansol,0.00392%,119.9197
lilkina,0.00392%,119.9197
mberg8895,0.00392%,119.9197
xiaoxiongdd,0.00392%,119.9197
babanes958,0.00392%,119.9197
kevinyoung001,0.00392%,119.9197
mamontovas,0.00392%,119.9197
yaniala,0.00392%,119.9197
chieduv,0.00392%,119.9197
iliaterb,0.00392%,119.9197
yang5034,0.00392%,119.9197
davide64,0.00392%,119.9197
ttely,0.00392%,119.9197
gelar199605,0.00392%,119.9197
agamit55,0.00392%,119.9197
bandewon,0.00392%,119.9197
nadyalazareva91,0.00392%,119.9197
xiangcaizi113,0.00392%,119.9197
qigemingwyl,0.00392%,119.9197
cxbvrfger,0.00392%,119.9197
xanni333,0.00392%,119.9197
viczzytech,0.00392%,119.9197
omforda,0.00392%,119.9197
yormith96,0.00392%,119.9197
anan68,0.00392%,119.9197
irense,0.00392%,119.9197
ryanwuu,0.00392%,119.9197
sabe-55,0.00392%,119.9197
gerytrs,0.00392%,119.9197
fabi4758,0.00392%,119.9197
oioi88,0.00392%,119.9197
ettell,0.00392%,119.9197
eato2847,0.00392%,119.9197
ashape,0.00392%,119.9197
koenialo55,0.00392%,119.9197
wynonaer,0.00392%,119.9197
hoanggiang0706,0.00392%,119.9197
soya1118,0.00392%,119.9197
jersono075,0.00392%,119.9197
milianders,0.00392%,119.9197
finnthehuman50,0.00392%,119.9197
zoyah59636,0.00392%,119.9197
danamond57,0.00392%,119.9197
estevie552,0.00392%,119.9197
varenkashi,0.00392%,119.9197
baoy08,0.00392%,119.9197
irevictor,0.00392%,119.9197
xineloe,0.00392%,119.9197
d0pelabs,0.00392%,119.9197
fire9996,0.00392%,119.9197
daram-svg,0.00392%,119.9197
opazanasn,0.00392%,119.9197
hertsyue,0.00392%,119.9197
mauriet546,0.00392%,119.9197
nolzey,0.00392%,119.9197
leslie158,0.00392%,119.9197
wani678,0.00392%,119.9197
xandaytenel,0.00392%,119.9197
lyaakod,0.00392%,119.9197
forgivenever,0.00392%,119.9197
aymead774,0.00392%,119.9197
vikijoaner,0.00392%,119.9197
agkcrypto,0.00392%,119.9197
whisb885,0.00392%,119.9197
daney-aw,0.00392%,119.9197
lsienneta,0.00392%,119.9197
halsiero225,0.00392%,119.9197
yiyi88,0.00392%,119.9197
lanaifa,0.00392%,119.9197
wangzhuo1111111,0.00392%,119.9197
timyholm,0.00392%,119.9197
sellemwa,0.00392%,119.9197
maric88,0.00392%,119.9197
ridgette,0.00392%,119.9197
ynleyn-12,0.00392%,119.9197
hant1998,0.00392%,119.9197
jia1430,0.00392%,119.9197
anmorderys,0.00392%,119.9197
vichkapavlova62,0.00392%,119.9197
lyubabaranova1984,0.00392%,119.9197
ksyushastepanova1960,0.00392%,119.9197
huawan3-1,0.00392%,119.9197
centripetalfaucet,0.00392%,119.9197
kiramatveeva1977,0.00392%,119.9197
jjjfinance,0.00392%,119.9197
xdiasz,0.00392%,119.9197
nftnice,0.00392%,119.9197
hikoree,0.00392%,119.9197
phindse,0.00392%,119.9197
rehasys,0.00392%,119.9197
liangcaomei,0.00392%,119.9197
michaelyu300,0.00392%,119.9197
ritaershova1959,0.00392%,119.9197
vityavityanikitin1990,0.00392%,119.9197
iasstery,0.00392%,119.9197
zefiac,0.00392%,119.9197
cryptogao,0.00392%,119.9197
valypetukhova1982,0.00392%,119.9197
acnice6,0.00392%,119.9197
kekdefi,0.00392%,119.9197
uisa-has,0.00392%,119.9197
katya-veselova-85,0.00392%,119.9197
szloane05,0.00392%,119.9197
bonaboi,0.00392%,119.9197
daerwen127,0.00392%,119.9197
fordon,0.00392%,119.9197
holertsve,0.00392%,119.9197
wynon-gh,0.00392%,119.9197
glen785,0.00392%,119.9197
liuyan827,0.00392%,119.9197
inertwertys,0.00392%,119.9197
haelene9898,0.00392%,119.9197
juange36,0.00392%,119.9197
lhrkk99bb,0.00392%,119.9197
gennadiyantonov1995,0.00392%,119.9197
lorian-87h,0.00392%,119.9197
hhhhwsw,0.00392%,119.9197
yangyi365,0.00392%,119.9197
zenali439,0.00392%,119.9197
mobertsy,0.00392%,119.9197
elianderse,0.00392%,119.9197
steersun,0.00392%,119.9197
nataliya-medvedeva-1969,0.00392%,119.9197
nenet9586,0.00392%,119.9197
amomi111,0.00392%,119.9197
petyagerasimov997,0.00392%,119.9197
silvikrinka12,0.00392%,119.9197
chen868601,0.00392%,119.9197
nupurmehra12,0.00392%,119.9197
vladislavnikitin1976,0.00392%,119.9197
tranhung1395,0.00392%,119.9197
keildter,0.00392%,119.9197
quer5241,0.00392%,119.9197
xyjxjbz,0.00392%,119.9197
valertyse,0.00392%,119.9197
taintnscrode,0.00392%,119.9197
eviasm,0.00392%,119.9197
unaa24751,0.00392%,119.9197
sergeymiller1970,0.00392%,119.9197
xenasa,0.00392%,119.9197
igertsy,0.00392%,119.9197
kilyreaner,0.00392%,119.9197
briant856,0.00392%,119.9197
dawshialer,0.00392%,119.9197
vintecher,0.00392%,119.9197
ytan285,0.00392%,119.9197
grehuan2,0.00392%,119.9197
uberchar,0.00392%,119.9197
gany-6464,0.00392%,119.9197
iann-fr,0.00392%,119.9197
hell0091,0.00392%,119.9197
tangerts,0.00392%,119.9197
valodiem,0.00392%,119.9197
tanmarty,0.00392%,119.9197
vanyaponomaryov1961,0.00392%,119.9197
gera-markov-1960,0.00392%,119.9197
wenn457,0.00392%,119.9197
xwellusa,0.00392%,119.9197
lynnell-asq,0.00392%,119.9197
jasonwang370,0.00392%,119.9197
layahhei,0.00392%,119.9197
llenceli20007,0.00392%,119.9197
valentin-titov-1983,0.00392%,119.9197
umaniel-98,0.00392%,119.9197
somenger,0.00392%,119.9197
wenaya,0.00392%,119.9197
borya-fyodorov-1970,0.00392%,119.9197
fantasywingss,0.00392%,119.9197
ulyanavolkova1967,0.00392%,119.9197
vadik-zhukov-1969,0.00392%,119.9197
jxdavid,0.00392%,119.9197
lalo32,0.00392%,119.9197
pohika,0.00392%,119.9197
hepi3112,0.00392%,119.9197
lizochkaantonova1987,0.00392%,119.9197
blvrc12,0.00392%,119.9197
kentyause,0.00392%,119.9197
ndovu808,0.00392%,119.9197
morerner,0.00392%,119.9197
vilians,0.00392%,119.9197
emameimei,0.00392%,119.9197
xueshengjun666,0.00392%,119.9197
kaito0123,0.00392%,119.9197
kimcheolho7825,0.00392%,119.9197
ixieann,0.00392%,119.9197
semylam,0.00392%,119.9197
yasolovaer,0.00392%,119.9197
vadiamer,0.00392%,119.9197
danyanikolaev1983,0.00392%,119.9197
leisers,0.00392%,119.9197
xiaojiang0597,0.00392%,119.9197
decision2016,0.00392%,119.9197
stertll,0.00392%,119.9197
lantre35,0.00392%,119.9197
complers,0.00392%,119.9197
timbe55,0.00392%,119.9197
zalianal,0.00392%,119.9197
satur1998,0.00392%,119.9197
barda-gf,0.00392%,119.9197
valeruner,0.00392%,119.9197
reen652,0.00392%,119.9197
tris58,0.00392%,119.9197
lasimo05,0.00392%,119.9197
hnny555,0.00392%,119.9197
l3q2q1,0.00392%,119.9197
wumin007git,0.00392%,119.9197
innochkastepanova1979,0.00392%,119.9197
micharr,0.00392%,119.9197
chongbicheng,0.00392%,119.9197
gustus958,0.00392%,119.9197
xujiajia330,0.00392%,119.9197
chefmukoso,0.00392%,119.9197
devoris47,0.00392%,119.9197
nialos,0.00392%,119.9197
lqzh,0.00392%,119.9197
dyve111,0.00392%,119.9197
zzyaako,0.00392%,119.9197
zhao1232802,0.00392%,119.9197
chenjiantao9111,0.00392%,119.9197
ok91008,0.00392%,119.9197
andymeows,0.00392%,119.9197
liyueyu811,0.00392%,119.9197
marcellobardus,0.00392%,119.9197
musk121,0.00392%,119.9197
xihucuyu888,0.00392%,119.9197
ellacela-55,0.00392%,119.9197
larkorens,0.00392%,119.9197
bhirit995,0.00392%,119.9197
naed52,0.00392%,119.9197
udwint,0.00392%,119.9197
netwolfwww,0.00392%,119.9197
therlin45,0.00392%,119.9197
ximillat,0.00392%,119.9197
xueaaa824,0.00392%,119.9197
bath824,0.00392%,119.9197
xsjxsj2037,0.00392%,119.9197
ganellen,0.00392%,119.9197
ltinkaaa,0.00392%,119.9197
bitcoinduke1,0.00392%,119.9197
phon777,0.00392%,119.9197
shachenxuan,0.00392%,119.9197
liuzjalex,0.00392%,119.9197
aleg76,0.00392%,119.9197
ivinyard,0.00392%,119.9197
nsonysu625,0.00392%,119.9197
zaronn88,0.00392%,119.9197
bitboy666,0.00392%,119.9197
1sats,0.00392%,119.9197
bitwater,0.00392%,119.9197
veranta-vg,0.00392%,119.9197
zigul,0.00392%,119.9197
crypt0nick,0.00392%,119.9197
ql8702,0.00392%,119.9197
filiaswe,0.00392%,119.9197
geeners,0.00392%,119.9197
pythonicnadeen,0.00392%,119.9197
nicolecheng98,0.00392%,119.9197
vandyhert,0.00392%,119.9197
duobai,0.00392%,119.9197
dawneetr,0.00392%,119.9197
aloyerts,0.00392%,119.9197
pikasky,0.00392%,119.9197
stephais258,0.00392%,119.9197
eles-584,0.00392%,119.9197
quianaye,0.00392%,119.9197
jiangdazhuang,0.00392%,119.9197
betterliu2333,0.00392%,119.9197
hosammazzawi,0.00392%,119.9197
gloria0089,0.00392%,119.9197
sims2255,0.00392%,119.9197
mair021,0.00392%,119.9197
dao558dao,0.00392%,119.9197
shengxiu132,0.00392%,119.9197
