handle,token_proportion,tokens
obernardovieira,0.02%,56.24989514
tomafrench,0.02%,56.12219708
cyan-one,0.02%,55.93141111
rautkaran,0.02%,55.78899817
coderberry,0.02%,55.66079271
gettty,0.02%,55.60176407
janus,0.02%,55.47677219
daaab,0.02%,55.21951558
random-internet-cat,0.02%,55.1834895
eibrielinv,0.02%,55.18078332
pi0neerpat,0.02%,54.896634
cryptobart95,0.02%,54.84301773
gokulsan,0.02%,54.74948524
biuxmaster,0.02%,54.46753469
tervero,0.02%,54.45704823
yyshuai321,0.02%,54.27454995
meronym,0.02%,54.23547942
zeitgeistf,0.02%,54.14059384
mateodaza,0.02%,54.12368019
jasonchewyl,0.02%,54.05247372
codeslip,0.02%,54.0495984
wenchaolove,0.02%,53.57144951
theonlyfoxy,0.02%,53.30742744
krsrm,0.02%,53.25956181
alonp99,0.02%,53.18142074
mattdesl,0.02%,53.11511924
wilfredta,0.02%,53.02480034
hashmap,0.02%,52.87325404
worh125u6k,0.02%,52.84382429
gildarsh,0.02%,52.75367453
knocte,0.02%,52.43231518
daniagit,0.02%,52.36618281
opolist,0.02%,52.07848162
zu-ctrl,0.02%,52.03788886
distributeddoge,0.02%,51.69352695
sarangparikh22,0.02%,51.65986878
simondlr,0.02%,51.60084015
touhonoob,0.02%,51.55280538
saras8,0.02%,51.52405217
hollygrimm,0.02%,51.14349505
pvienhage,0.02%,50.9060274
basilis18,0.02%,50.90551999
lyonkwek,0.02%,50.74095018
krisc,0.02%,50.74095018
joranhonig,0.02%,50.52665423
iainnash,0.02%,50.4713466
dannydesert,0.02%,50.38322648
danibelle,0.02%,50.33350035
ligi,0.02%,50.23100363
substreight,0.02%,50.21628875
abvavgjoe,0.02%,50.07742769
fiskantes,0.02%,49.98101988
subramanianv,0.02%,49.79885987
ashaegan,0.02%,49.54312548
i1skn,0.02%,49.4927228
chris124567,0.02%,49.32054185
pmprete,0.02%,49.23986373
mikaellazarev,0.02%,49.10709158
akomba,0.02%,49.0566889
mortimr,0.02%,49.04958517
ringaile,0.02%,48.77812109
demyanrogozhin,0.01%,48.34124151
brenzi,0.01%,48.03053776
limzero,0.01%,47.9885919
zayirey,0.01%,47.58029639
snaketh4x0r,0.01%,47.43399332
stejin,0.01%,47.42993404
mingderwang,0.01%,47.22713938
